kind,h,model,persist,history,richtext,combined
escalation,1,rf,0.1820468786198009,0.2313062261431279,0.2126041173452236,0.23186711046377803
escalation,1,l2,0.1820468786198009,0.20277746387661622,0.19656753267890084,0.20629543526416416
escalation,3,rf,0.16093565166798807,0.23313853663666906,0.22479848948772274,0.2309161204243541
escalation,3,l2,0.16093565166798807,0.21840749387535585,0.20163035824149236,0.21985405212853582
