h,model,persistence,history,richtext,structural,history+richtext,history+structural,structural+richtext,all
1,rf,0.1820468786198009,0.2313062261431279,0.2126041173452236,0.17004483981039586,0.23186711046377803,0.23015118851066674,0.21400274579999645,0.2316308265145769
1,l2,0.1820468786198009,0.20277746387661622,0.19656753267890084,0.15250027185787401,0.20629543526416416,0.19547593645682299,0.19530463105016443,0.2029173663556178
3,rf,0.16093565166798807,0.23313853663666906,0.22479848948772274,0.16054488684910995,0.2309161204243541,0.22650880905292414,0.22603140000637212,0.23007884239914642
3,l2,0.16093565166798807,0.21840749387535585,0.20163035824149236,0.15646652241432496,0.21985405212853582,0.2134868695652869,0.19980991253451427,0.21576623759043828
