kind,model,persistence,climatology,base,n
occurrence,0.7999809257252491,0.526968211275252,0.6524405755872739,0.1909963719323817,126238
occurrence,0.7754252961599594,0.526968211275252,0.6524405755872739,0.1909963719323817,126238
escalation,0.17039024850430973,0.09904640299693937,0.12545126513270682,0.03507660134032542,126238
escalation,0.1439518643420659,0.09904640299693937,0.12545126513270682,0.03507660134032542,126238
onset,0.03159801856865395,0.01767087716209674,0.019255931578833263,0.01767087716209674,45442
onset,0.020005370115423773,0.01767087716209674,0.019255931578833263,0.01767087716209674,45442
